Time Input_psi Output_deg
457 11.530327155321 -19.3436650005689
458 11.5723824902482 -19.3742134773781
459 11.5923918244481 -19.396526129533
460 11.6170881859662 -19.4293400267819
461 11.6744104659931 -19.467940057526
462 11.6984256123223 -19.4978738350955
463 11.7139192437426 -19.5195174300556
464 11.7477784010607 -19.5463019476373
465 11.7903896989905 -19.5785280040318
466 11.8163487289896 -19.6080786486606
467 11.8428895161536 -19.6355706443479
468 11.8797665004508 -19.664650212372
469 11.9055077558737 -19.6908381364337
470 11.940548854557 -19.7226210185914
471 11.9813213923352 -19.7548617023931
472 11.9935609528438 -19.7730551329697
473 12.0271159572267 -19.8034537694059
474 12.0667600807683 -19.8235173032223
475 12.0864768939535 -19.8630644303201
476 12.0960590900538 -19.8791808965538
477 12.1509924336872 -19.899641567296
478 12.178489884692 -19.9415423027044
479 12.2057425079099 -19.971033955038
480 12.2361799000978 -19.9932275161657
481 12.261102304435 -20.024372421536
482 12.2824428354949 -20.0551941943578
483 12.3180258825411 -20.0877972675118
484 12.350874461562 -20.1116053393685
485 12.3770403348427 -20.1339181245881
486 12.400307282064 -20.1676147642165
487 12.4363082012605 -20.2142792923931
488 12.4631410091566 -20.2364042448915
489 12.4835411348651 -20.2594388477166
490 12.5148146933344 -20.2932318150444
491 12.5421521843837 -20.3130457341647
492 12.5720524935297 -20.3496317757263
493 12.5880304661587 -20.3580600508481
494 12.6287709640717 -20.3971075485571
495 12.6482589548701 -20.4252838200604
496 12.6768854664108 -20.448013113119
497 12.6958248178174 -20.4676048061549
498 12.7316851337753 -20.4885899829422
499 12.7610046589952 -20.5165442379238
500 12.7853116127841 -20.5390151621304
501 12.8025253077841 -20.565421515785
502 12.826521467534 -20.5869183599383
503 12.8592842373393 -20.6100683203272
504 12.8821842422387 -20.6362706625054
505 12.903212885975 -20.6604316843213
506 12.9314363536357 -20.69229336528
507 12.9584370560553 -20.713480115911
508 12.9765758296244 -20.7424889587739
509 12.9964121090112 -20.7735967356149
510 13.0289620765839 -20.8081823403471
511 13.0515032521305 -20.8343571258687
512 13.075039312941 -20.867629595256
513 13.0873738148222 -20.8830893875025
514 13.1224681423114 -20.9170351249684
515 13.1432533041321 -20.9450390911873
516 13.1684646996204 -20.9683237594598
517 13.1881755329274 -20.9955762215807
518 13.2137005405827 -21.0147586354682
519 13.2323570601731 -21.0379278750695
520 13.2580082386404 -21.0612724035082
521 13.2800221533185 -21.087876233049
522 13.2911063041202 -21.1070575274025
523 13.310010949345 -21.1304685637819
524 13.3381848792241 -21.1612181504775
525 13.3595884153017 -21.1823868906083
526 13.3816713952601 -21.20747695143
527 13.4049693915205 -21.2342167430973
528 13.4191133317394 -21.2496653180747
529 13.4417276693145 -21.2843599434634
530 13.4532908884259 -21.3102889125458
531 13.4807279776477 -21.3412348232096
532 13.4926392383299 -21.3622572992543
533 13.5186574465074 -21.3965267314636
534 13.5353103429006 -21.4163314745021
535 13.5575977491044 -21.4609942709907
536 13.5729639110412 -21.4871287083082
537 13.5940644773918 -21.5608630454502
538 13.6104508936084 -21.5808771811296
539 13.6306837037202 -21.6289823015371
540 13.6434099949613 -21.6582205597569
541 13.6634917424778 -21.699516493357
542 13.682530954789 -21.749834357767
543 13.6990215465752 -21.7896478610376
544 13.7188858857894 -21.8598027077379
545 13.7284235020175 -21.8903276811237
546 13.7429766367463 -21.9177410990714
547 13.7569925154577 -21.9438703761944
548 13.7763207842938 -22.0019598276363
549 13.8002979806281 -22.034339022267
550 13.8139933861117 -22.0711019591915
551 13.8249539526793 -22.1039034348657
552 13.8456843553281 -22.1625411325132
553 13.8574825870858 -22.1988116111452
554 13.8726722019146 -22.2385089784514
555 13.8866065108305 -22.2851510045869
556 13.8988287518688 -22.3247216010987
557 13.9109509350356 -22.3594416917356
558 13.9265284873805 -22.4026433424792
559 13.9418961205135 -22.4422863334583
560 13.953817167377 -22.4849352244782
561 13.9656395944645 -22.5173205862123
562 13.9790359656126 -22.5604238686458
563 13.9898857291598 -22.5971606658092
564 14.0009427375463 -22.6362066444439
565 14.0113867489675 -22.6654632777987
566 14.0236932803837 -22.7055974889849
567 14.0355055260306 -22.7364129487133
568 14.0456067433693 -22.781884132838
569 14.0556623266535 -22.8174095171183
570 14.0657485188993 -22.8525838444183
571 14.0786869989813 -22.8931124571296
572 14.0886612522471 -22.9242525512816
573 14.0967090169052 -22.9598287810447
574 14.1048538478229 -22.9967537809594
575 14.1127090104638 -23.0334807714413
576 14.1227769491375 -23.0760796171698
577 14.1306423518797 -23.114890743572
578 14.1398505300805 -23.1429800895976
579 14.1467016951353 -23.1926763529617
580 14.1553401178796 -23.2117711678393
581 14.1630099031146 -23.250902929545
582 14.1698766519031 -23.2814568906913
583 14.1754767610375 -23.3231299081906
584 14.1821671850247 -23.3388531161301
585 14.1886374874823 -23.3628310361106
586 14.1933411336211 -23.3906991124274
587 14.1984394835729 -23.4127283459064
588 14.2037106359888 -23.4488243233729
589 14.208246081116 -23.4853704678199
590 14.2129901991288 -23.5134195930111
591 14.2166710381288 -23.5435677800928
592 14.2212917747257 -23.5651326534093
593 14.224163477759 -23.5857904785973
594 14.2272656706981 -23.6145888668802
595 14.2293415589747 -23.6400097085427
596 14.2322970874202 -23.6640119227033
597 14.2348051401961 -23.6873595892212
598 14.2365557100423 -23.711335907597
599 14.237808807517 -23.7361265991582
600 14.2391145508088 -23.7599242433224
601 14.2401211922134 -23.7832485160812
602 14.2405983630417 -23.8047131525774
603 14.2409884044781 -23.832613132398
604 14.2409119908504 -23.8576014261398
605 14.2405958859399 -23.8816069537343
606 14.2400520875004 -23.910136163706
607 14.2392268193533 -23.9214002054482
608 14.2376117832072 -23.9499397352971
609 14.2354217368552 -23.982261913767
610 14.2332771326592 -23.9968158311218
611 14.2311966586795 -24.0184516109672
612 14.2282947586431 -24.0385005918031
613 14.2247745974485 -24.0572716511386
614 14.2220135131148 -24.0779027506816
615 14.2173153379767 -24.1010857840415
616 14.2136631052259 -24.1169433783049
617 14.2088540630749 -24.1345399953324
618 14.2047804433742 -24.1523503630134
619 14.1993834907691 -24.1742047998259
620 14.1945354341791 -24.1913429222994
621 14.1883812908079 -24.2111758903566
622 14.1821852074683 -24.2216984343179
623 14.1745074116568 -24.2326629967429
624 14.1681794591525 -24.2510812053655
625 14.162286044061 -24.2620740172567
626 14.154126514313 -24.2784166557496
627 14.1458938398108 -24.2902927764974
628 14.1374876962439 -24.3026486544325
629 14.1272738856059 -24.3149573120095
630 14.1200183199768 -24.3236192126471
631 14.1088877572849 -24.3391111272001
632 14.1002459469074 -24.347285032107
633 14.0894703017568 -24.3516570424597
634 14.0788422213911 -24.3613630675983
635 14.0692221221677 -24.3721164546271
636 14.0590749724007 -24.3793495198462
637 14.0457708730029 -24.3874910200335
638 14.0324533895282 -24.3961234417514
639 14.0218208200877 -24.4024321408064
640 14.0101145426781 -24.405950390544
641 13.9947096017645 -24.4134645395757
642 13.9834647609514 -24.4173323957461
643 13.9672632923263 -24.421525794584
644 13.9549494824894 -24.4288776168621
645 13.9429283771069 -24.433614394363
646 13.9274336087324 -24.437548130611
647 13.9086718479917 -24.443431328646
648 13.8950096564806 -24.4471064402581
649 13.878098017105 -24.4520384338377
650 13.8638972832635 -24.4579477644601
651 13.8493097068745 -24.4560793045203
652 13.8285280462401 -24.4580274948702
653 13.8106084492862 -24.4595147467946
654 13.7951796120205 -24.4593315485237
655 13.7751270439692 -24.4588215943972
656 13.7576374004531 -24.4580297800441
657 13.7365582256616 -24.4598930453106
658 13.7191323452745 -24.4545602183937
659 13.7054651457858 -24.4549720776617
660 13.6833697933159 -24.4522272240229
661 13.65931459057 -24.4501834896818
662 13.638250503357 -24.4492669919501
663 13.6156998393712 -24.4494142218923
664 13.5966691574606 -24.448471980827
665 13.5775610246898 -24.4490910363059
666 13.5530843332063 -24.4475967374602
667 13.5362782735749 -24.4480424124537
668 13.506711962724 -24.4437986637924
669 13.4827518054745 -24.4416755320267
670 13.4612153887966 -24.4375882966973
671 13.4372785066925 -24.4319291684479
672 13.4122279504486 -24.425699386237
673 13.3878676009863 -24.4220500478832
674 13.3660534576805 -24.418391839526
675 13.3427037861514 -24.41566578935
676 13.3179614055284 -24.4117810138665
677 13.2885852604743 -24.406391120569
678 13.261808089517 -24.4005791256736
679 13.2407560417274 -24.3957850240588
680 13.21268548162 -24.3887055790327
681 13.1878938907538 -24.3810720890415
682 13.1612246316662 -24.3748855914703
683 13.132491606141 -24.368385094756
684 13.1036775893481 -24.3616054100919
685 13.0780184973729 -24.3584008018818
686 13.0485226494421 -24.3526804421812
687 13.0129002176478 -24.3473335484578
688 12.9811440703586 -24.3403159933414
689 12.9589345918428 -24.3337874647343
690 12.9267621519023 -24.3258045255404
691 12.8929711302873 -24.3181674368634
692 12.8676084714845 -24.3111860482871
693 12.8376383011451 -24.305602455751
694 12.8021913157798 -24.2973900012773
695 12.7779640035554 -24.2885479821192
696 12.7417771695221 -24.282635539611
697 12.7122754201906 -24.2752183107494
698 12.68351807261 -24.2666922836877
699 12.6414060925773 -24.2580471732879
700 12.6172499348587 -24.252856985975
701 12.5931464240738 -24.2462674407969
702 12.5490392993141 -24.2369595347719
703 12.5263474013716 -24.2280528556871
704 12.4947929701416 -24.2193086019545
705 12.4578891767092 -24.2090570830359
706 12.4174828883717 -24.202593694563
707 12.4004835740502 -24.1961842552085
708 12.3550165390694 -24.1845894363214
709 12.3118275381786 -24.1790110885649
710 12.2888718934504 -24.1695141902478
711 12.2795556012584 -24.1629492320311
712 12.2096856866772 -24.1474803447206
713 12.1643793764289 -24.1359200950098
714 12.1246017833271 -24.1287021798561
715 12.0884632654935 -24.1174304330865
716 12.069550062258 -24.1085307280821
717 12.026012879019 -24.1003688680986
718 11.99734724842 -24.0836455945288
719 11.9443622508667 -24.0686022395211
720 11.9155953080203 -24.0571877268631
721 11.8633966891768 -24.044852628253
722 11.8312936666803 -24.030361804159
723 11.7997691361193 -24.0132676011316
724 11.7565626401796 -24.0064322449858
725 11.709832860087 -23.9893269645985
726 11.6712249372065 -23.9795938050252
727 11.6304377669965 -23.9628054948021
728 11.5904470493583 -23.9504246997205
729 11.5584876949062 -23.9343377440557
730 11.5207705480711 -23.9073971121312
731 11.4816837216973 -23.8697398325698
732 11.444372978813 -23.8586910913399
733 11.4067759792926 -23.8227503311199
734 11.355797680638 -23.8064220105253
735 11.3135599138447 -23.7838186886495
